epoch,train_loss,test_acc@1,test_acc@5
1,5.963443934611785,39.07,88.35
2,5.7707054749513285,44.85,91.53999999999999
3,5.684472318796011,49.6,93.39
4,5.628305841103578,52.64,94.45
5,5.600961538461538,54.66,95.17999999999999
6,5.573779152601193,56.85,95.67999999999999
7,5.56313650180132,56.67,95.81
8,5.54838539759318,58.63,96.14
9,5.536370062216735,58.41,96.21
10,5.529141912704859,59.74,96.41
11,5.520350072322747,60.67,96.53
12,5.513871611081637,60.24,96.47
13,5.507252964606652,61.24000000000001,96.96000000000001
14,5.503535767090626,61.050000000000004,96.8
15,5.496439522963303,62.01,97.11
16,5.489309281569261,62.69,96.99
17,5.48846792563414,61.870000000000005,96.77
18,5.484511236044077,63.24999999999999,97.2
19,5.479729085090833,63.27,97.11
20,5.477399109571408,63.82,96.97
21,5.47214878033369,63.83,97.28999999999999
22,5.467976323152199,63.77,97.33000000000001
23,5.466660656073155,64.14999999999999,97.55
24,5.464935525258382,63.78,97.3
25,5.460823132441594,64.7,97.24000000000001
26,5.460508366120167,64.42,97.39999999999999
27,5.454006879757612,65.14999999999999,97.44
28,5.452429106296637,64.92999999999999,97.39
29,5.4485901074531755,64.92999999999999,97.27
30,5.4514475406744545,65.77,97.66
31,5.4480099653586365,65.84,97.61999999999999
32,5.4445115676293,65.85,97.86
33,5.441877174377441,65.44,97.39999999999999
34,5.438329398326385,65.82000000000001,97.27
35,5.43978230158488,66.36999999999999,97.69
36,5.436937493544359,66.55,97.95
37,5.435527874873235,66.86,97.81
38,5.433779354584523,66.64,97.94
39,5.430908856025109,66.17,97.72
40,5.430335433666523,66.43,97.86
41,5.429905209174523,66.69,98.04
42,5.427235006674742,66.86999999999999,97.78
43,5.426522296514267,67.06,97.89999999999999
44,5.420478681417612,66.96,97.82
45,5.4246009557675094,67.72,97.83
46,5.420810968447954,67.35,97.92999999999999
47,5.420453406602908,66.14,97.87
48,5.421051115867419,67.17999999999999,97.83
49,5.417956738594251,68.17999999999999,97.94
50,5.417306958712064,67.91,98.0
51,5.414895605429625,67.25,97.91
52,5.4160974380297535,68.57,98.31
53,5.412601764385517,68.01,98.11999999999999
54,5.4105304400126135,68.32000000000001,97.97
55,5.411475482353797,69.19,98.03
56,5.410305710327931,68.32000000000001,98.13
57,5.408226103660388,69.01,98.09
58,5.405322074890137,68.03,97.89
59,5.405888026799911,68.83,98.16
60,5.404184769361447,68.35,98.08
61,5.404166292532897,68.2,98.11
62,5.403795450161665,68.28,97.91
63,5.40213256249061,67.7,97.83
64,5.400465906583346,68.89999999999999,98.16
65,5.398944791158041,69.78999999999999,98.2
66,5.398979786114815,69.21000000000001,98.34
67,5.398153644953019,69.88,98.2
68,5.397455345055996,69.51,98.07000000000001
69,5.39565082696768,69.13,97.94
70,5.396762165656456,69.87,98.24000000000001
71,5.395267388759515,69.32000000000001,98.11
72,5.393568816551795,69.46,98.34
73,5.39407872175559,68.93,98.27
74,5.394573502662855,69.72,97.97
75,5.391940464117588,69.75,98.27
76,5.392460228846623,69.69,98.08
77,5.39221205100035,69.59,98.3
78,5.390513226924798,69.97,98.29
79,5.3887790557665705,70.19999999999999,98.15
80,5.388688745254125,69.52000000000001,98.11999999999999
